system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
23387,6,6,6,6,6,6,1,0,23387,-21.44175,165.46332046672782,0,,0,"{""type"":""Point"",""coordinates"":[165.46332046672782,-21.441750000000003]}"
23388,6,6,6,6,4,4,1,0,23388,-21.441480505165003,165.46332046672782,0,,0,"{""type"":""Point"",""coordinates"":[165.46332046672782,-21.441480505165003]}"
23389,6,6,6,6,6,6,1,0,23389,-21.44201949433717,165.46361,0,,37,"{""type"":""Point"",""coordinates"":[165.46361,-21.44201949433717]}"
23390,6,6,6,6,6,6,1,0,23390,-21.44175,165.46361,0,,0,"{""type"":""Point"",""coordinates"":[165.46361,-21.44175]}"
23391,6,6,6,6,6,6,1,0,23391,-21.441480505165003,165.46361,0,,0,"{""type"":""Point"",""coordinates"":[165.46361,-21.441480505165003]}"
23392,6,6,6,6,6,6,1,0,23392,-21.44201949433717,165.46389953327218,0,,0,"{""type"":""Point"",""coordinates"":[165.46389953327218,-21.44201949433717]}"
23393,6,6,6,6,6,6,1,0,23393,-21.44175,165.46389953327218,0,,0,"{""type"":""Point"",""coordinates"":[165.46389953327218,-21.441750000000003]}"
23394,6,6,6,6,6,6,1,0,23394,-21.441480505165003,165.46389953327218,0,,37,"{""type"":""Point"",""coordinates"":[165.46389953327218,-21.441480505165003]}"
23395,6,6,6,6,6,6,1,0,23395,-21.44920949433707,165.27950045245544,0,,47,"{""type"":""Point"",""coordinates"":[165.27950045245544,-21.449209494337072]}"
23396,6,6,6,6,6,4,1,0,23396,-21.448940000000007,165.27950045245544,0,,52,"{""type"":""Point"",""coordinates"":[165.27950045245544,-21.448940000000007]}"
23397,6,6,6,6,6,6,1,0,23397,-21.613710505162786,166.08065,0,,55,"{""type"":""Point"",""coordinates"":[166.08065,-21.613710505162786]}"
23398,6,6,6,6,6,6,1,0,23398,-21.448670505164912,165.27950045245544,0,,45,"{""type"":""Point"",""coordinates"":[165.27950045245544,-21.448670505164912]}"
23399,6,6,6,6,6,6,1,0,23399,-21.44920949433707,165.27979,0,,4,"{""type"":""Point"",""coordinates"":[165.27979,-21.449209494337072]}"
23400,1,1,2,2,2,2,1,0,23400,-21.61424949433496,166.0809398767978,0,,52,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.614249494334963]}"
23401,6,6,6,6,4,4,1,0,23401,-21.448940000000007,165.27979,0,,0,"{""type"":""Point"",""coordinates"":[165.27979,-21.448940000000007]}"
23402,6,6,6,6,6,6,1,0,23402,-21.78240050516064,165.87763021659885,0,,37,"{""type"":""Point"",""coordinates"":[165.87763021659885,-21.78240050516064]}"
23403,6,6,6,6,4,4,1,0,23403,-21.61398,166.0809398767978,0,,55,"{""type"":""Point"",""coordinates"":[166.0809398767978,-21.613980000000005]}"
23404,6,6,6,6,6,6,1,0,23404,-21.78472949433278,165.8471797797777,0,,20,"{""type"":""Point"",""coordinates"":[165.8471797797777,-21.78472949433278]}"
23405,6,6,6,6,6,6,1,0,23405,-21.78446,165.8471797797777,0,,45,"{""type"":""Point"",""coordinates"":[165.8471797797777,-21.784460000000003]}"
23406,6,6,6,6,6,6,1,0,23406,-21.784190505160623,165.8471797797777,0,,45,"{""type"":""Point"",""coordinates"":[165.8471797797777,-21.784190505160623]}"
23407,6,6,6,6,6,6,1,0,23407,-21.78472949433278,165.84746999999996,0,,37,"{""type"":""Point"",""coordinates"":[165.84746999999996,-21.784729494332783]}"
23408,6,6,6,6,6,6,1,0,23408,-21.78446,165.84746999999996,0,,45,"{""type"":""Point"",""coordinates"":[165.84746999999996,-21.784460000000003]}"
23409,6,6,6,6,6,6,1,0,23409,-21.784190505160623,165.84746999999996,0,,45,"{""type"":""Point"",""coordinates"":[165.84746999999996,-21.784190505160627]}"
23410,6,6,6,6,6,6,1,0,23410,-21.78472949433278,165.84776022022226,0,,37,"{""type"":""Point"",""coordinates"":[165.84776022022226,-21.78472949433278]}"
23411,6,6,6,6,6,6,1,0,23411,-21.78446,165.84776022022226,0,,45,"{""type"":""Point"",""coordinates"":[165.84776022022226,-21.78446]}"
23412,6,6,6,6,6,6,1,0,23412,-21.784190505160623,165.84776022022226,0,,45,"{""type"":""Point"",""coordinates"":[165.84776022022226,-21.784190505160623]}"
