system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,loss,lossyear,treecover2000,.geo
187,1,1,3,3,4,4,1,0,187,0,,64,"{""type"":""Point"",""coordinates"":[165.31867862866022,-21.36023149433821]}"
188,1,1,3,3,4,4,1,0,188,0,,79,"{""type"":""Point"",""coordinates"":[165.31867862866022,-21.359962]}"
189,1,1,3,3,4,4,1,0,189,1,5,90,"{""type"":""Point"",""coordinates"":[165.31867862866022,-21.35969250516605]}"
190,1,1,3,3,4,4,1,0,190,0,,81,"{""type"":""Point"",""coordinates"":[165.318968,-21.360231494338212]}"
191,1,1,3,3,4,4,1,0,191,0,,81,"{""type"":""Point"",""coordinates"":[165.318968,-21.359962]}"
192,1,1,3,3,4,4,1,0,192,1,5,90,"{""type"":""Point"",""coordinates"":[165.318968,-21.35969250516605]}"
193,1,1,3,3,4,4,1,0,193,1,5,95,"{""type"":""Point"",""coordinates"":[165.31925737133986,-21.36023149433821]}"
194,1,1,3,3,3,3,1,0,194,0,,78,"{""type"":""Point"",""coordinates"":[165.31925737133986,-21.359962]}"
195,1,1,3,3,3,3,1,0,195,0,,75,"{""type"":""Point"",""coordinates"":[165.31925737133986,-21.35969250516605]}"
196,1,1,3,3,4,4,1,0,196,0,,72,"{""type"":""Point"",""coordinates"":[165.3198386270583,-21.3610424943382]}"
197,1,1,3,3,4,4,1,0,197,0,,87,"{""type"":""Point"",""coordinates"":[165.3198386270583,-21.360772999999995]}"
198,1,1,3,3,4,4,1,0,198,1,5,90,"{""type"":""Point"",""coordinates"":[165.3198386270583,-21.360503505166044]}"
199,1,1,3,3,4,4,1,0,199,0,,87,"{""type"":""Point"",""coordinates"":[165.320128,-21.3610424943382]}"
200,1,1,3,3,3,3,1,0,200,0,,90,"{""type"":""Point"",""coordinates"":[165.320128,-21.36077299999999]}"
201,1,1,3,3,4,4,1,0,201,1,5,90,"{""type"":""Point"",""coordinates"":[165.320128,-21.360503505166044]}"
202,1,1,3,3,4,4,1,0,202,0,,87,"{""type"":""Point"",""coordinates"":[165.32041737294173,-21.3610424943382]}"
203,1,1,3,3,3,3,1,0,203,0,,90,"{""type"":""Point"",""coordinates"":[165.32041737294173,-21.36077299999999]}"
204,1,1,3,3,3,3,1,0,204,1,5,90,"{""type"":""Point"",""coordinates"":[165.32041737294173,-21.36050350516604]}"
205,6,6,6,6,6,6,1,0,205,0,,37,"{""type"":""Point"",""coordinates"":[165.32242364419744,-21.35236349433829]}"
206,1,1,3,3,4,4,1,0,206,1,4,78,"{""type"":""Point"",""coordinates"":[165.32242364419744,-21.352093999999994]}"
207,6,6,6,6,4,4,1,0,207,1,4,71,"{""type"":""Point"",""coordinates"":[165.32242364419744,-21.351824505166125]}"
208,1,1,1,1,1,1,1,0,208,0,,90,"{""type"":""Point"",""coordinates"":[165.3224476222481,-21.36347749433816]}"
209,1,1,1,1,1,1,1,0,209,1,12,90,"{""type"":""Point"",""coordinates"":[165.3224476222481,-21.363208]}"
210,1,1,1,1,1,1,1,0,210,0,,90,"{""type"":""Point"",""coordinates"":[165.3224476222481,-21.36293850516602]}"
211,6,6,6,6,6,6,1,0,211,0,,37,"{""type"":""Point"",""coordinates"":[165.322713,-21.35236349433829]}"
212,1,1,3,3,4,4,1,0,212,1,4,78,"{""type"":""Point"",""coordinates"":[165.322713,-21.352093999999994]}"
213,6,6,6,6,4,4,1,0,213,1,4,71,"{""type"":""Point"",""coordinates"":[165.322713,-21.351824505166125]}"
214,1,1,1,1,1,1,1,0,214,0,,90,"{""type"":""Point"",""coordinates"":[165.32273700000002,-21.36347749433816]}"
